Fid,Temp,Wind,Date_Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Types_of_Junction,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity,Ambulace_Allocated,Ambulace_Pickedup,LATITUDE,LONGITUDE,Label
10.42.0.1-10.42.0.42-53-60768-17,35,5.3,01-11-22 11:06,40,Male,Employee,2-5yr,Taxi,Other,No junction,Vehicle with vehicle collision,2,2,Going straight,Driving at high speed,Slight Injury,Yes,Yes,30.57865283,-98.26720823,0
172.217.10.232-10.42.0.211-443-44299-6,27,4.3,01-11-22 11:17,50,Male,Employee,1-2yr,Automobile,Other,Crossing,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight Injury,No,No,27.66522849,-97.35788937,1
10.42.0.211-108.168.180.123-56067-5222-6,25,2.9,01-11-22 11:18,40,Male,Employee,1-2yr,Stationwagen,Other,Crossing,Vehicle with vehicle collision,2,2,Going straight,Other,Slight Injury,Yes,Yes,32.92149603,-96.7764887,0
10.42.0.42-13.32.250.46-44859-443-6,25,5,01-11-22 11:22,25,Male,Employee,5-10yr,Automobile,Residential areas,Crossing,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,32.05112,-102.126511,1
172.217.9.238-10.42.0.42-443-33455-6,30,5.3,01-11-22 11:27,55,Male,Employee,unknown,Public (12 seats), Church areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,29.72600046,-95.38283288,0
216.58.212.131-10.42.0.211-443-35607-6,34,2.7,01-11-22 11:27,35,Male,Employee,5-10yr,Car,Office areas,Y Shape,Collision with roadside objects,2,2,Stopping,Changing lane to the left,Slight Injury,No,No,29.57669649,-95.5842782,1
10.42.0.211-77.234.44.40-36097-80-6,33,2.4,01-11-22 11:27,20,Male,Employee,1-2yr,Automobile, Church areas,No junction,Vehicle with vehicle collision,1,1,Turnover,No distancing,Slight Injury,Yes,Yes,33.6177213,-96.1940278,0
183.79.250.251-10.42.0.211-443-54396-6,25,3,01-11-22 11:27,40,Male,Employee,2-5yr,Lorry (41?100Q),Other,No junction,Collision with roadside objects,2,1,Getting off,Moving Backward,Slight Injury,No,No,32.72910845,-97.33571468,1
10.42.0.151-52.84.135.137-57068-443-6,32,3.4,01-11-22 11:34,50,Male,Employee,Above 10yr,Car,,No junction,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the left,Slight Injury,No,No,41.13744517,-73.41716503,1
10.42.0.211-98.139.180.149-52403-80-6,24,1.3,01-11-22 11:34,60,Male,Owner,5-10yr,Public (> 45 seats),School areas,Y Shape,Vehicle with vehicle collision,2,2,Moving Backward,Other,Serious Injury,Yes,Yes,41.77105209,-72.7472878,0
183.79.250.123-10.42.0.211-443-33950-6,27,1.4,01-11-22 11:34,40,Male,Employee,1-2yr,Car,Office areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,No distancing,Serious Injury,No,No,41.03790597,-73.62627796,1
216.58.219.194-10.42.0.42-443-43675-6,25,3.1,01-11-22 11:39,80,Male,Employee,Above 10yr,Public (12 seats),Other,Unknown,Collision with roadside objects,1,1,Turnover,Moving Backward,Slight Injury,Yes,Yes,41.18629176,-73.2001665,0
10.42.0.211-106.11.94.1-42503-443-6,33,1.8,01-11-22 11:45,20,Female,Employee,1-2yr,Public (12 seats),Office areas,No junction,Collision with roadside objects,2,1,Going straight,No distancing,Serious Injury,Yes,Yes,41.23747461,-73.18388044,0
10.42.0.211-10.42.0.1-1862-53-17,34,2.1,01-11-22 11:47,25,Male,Employee,2-5yr,Automobile,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Serious Injury,No,No,41.45424638,-73.40208792,1
172.217.3.106-10.42.0.42-443-37665-6,30,3.4,01-11-22 11:52,30,Male,Employee,Above 10yr,Car,Other,No junction,Vehicle with vehicle collision,2,2,U-Turn,Changing lane to the left,Slight Injury,No,No,41.13369729,-73.28404051,1
172.217.10.238-10.42.0.42-80-40083-6,32,8.1,01-11-22 11:52,50,Male,Employee,2-5yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,2,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,41.16074179,-73.25420661,0
10.42.0.42-123.125.29.220-44857-80-6,35,4.7,01-11-22 11:54,60,Male,Employee,5-10yr,Lorry (41?100Q),Other,No junction,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,41.17290389,-73.29054162,1
172.217.3.110-10.42.0.151-443-56833-6,29,2.9,01-11-22 11:56,50,Male,Owner,1-3yr,Public (12 seats), Church areas,No junction,Vehicle with vehicle collision,2,2,U-Turn,Driving carelessly,Slight Injury,Yes,Yes,41.1436389,-73.2510187,0
10.42.0.42-52.10.216.232-56988-80-6,30,7.5,01-11-22 12:00,55,Male,Employee,1-2yr,Lorry (11?40Q),Office areas,No junction,Vehicle with vehicle collision,2,2,Stopping,Driving carelessly,Slight Injury,No,No,41.11905213,-73.31461533,1
10.42.0.211-66.198.24.224-38570-443-6,27,5.9,01-11-22 12:02,50,Female,Employee,5-10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,41.06922163,-73.62607937,0
172.217.12.138-10.42.0.151-443-38470-6,36,3.9,01-11-22 12:07,30,Male,Employee,5-10yr,Automobile,Other,No junction,Collision with roadside objects,2,1,Moving Backward,Getting off the vehicle improperly,Slight Injury,No,No,41.38996242,-73.430045,1
10.42.0.211-121.12.98.85-52033-80-6,32,3.5,01-11-22 12:09,40,Male,Employee,1-2yr,Automobile,Residential areas,No junction,Collision with roadside objects,2,2,Getting off,No distancing,Slight Injury,Yes,Yes,41.38238712,-73.45317757,0
10.42.0.211-63.250.200.101-52125-443-6,32,6.4,01-11-22 12:13,60,Male,Employee,5-10yr,Bajaj,Residential areas,No junction,Collision with roadside objects,2,2,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.67371317,-72.94934593,0
180.149.136.194-10.42.0.211-80-50585-6,31,3.4,01-11-22 12:18,45,Female,Employee,5-10yr,Public (12 seats),,No junction,Vehicle with vehicle collision,2,2,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,41.1795191,-73.1963052,0
10.42.0.211-54.192.38.171-56437-443-6,35,3,01-11-22 12:21,30,Male,Employee,2-5yr,Lorry (11?40Q),Other,Y Shape,Vehicle with vehicle collision,2,4,Turnover,No distancing,Slight Injury,Yes,Yes,41.64237869,-72.79417983,0
183.79.248.124-10.42.0.42-443-44609-6,36,4.2,01-11-22 12:23,40,Male,Employee,1-2yr,Car,Office areas,Y Shape,Vehicle with vehicle collision,2,4,Moving Backward,No priority to pedestrian,Slight Injury,Yes,Yes,41.22406198,-73.24640695,0
10.42.0.42-31.13.80.5-47762-443-6,35,7,01-11-22 12:26,30,Male,Employee,5-10yr,Car,School areas,Y Shape,Vehicle with vehicle collision,2,4,Going straight,No priority to pedestrian,Slight Injury,No,No,41.05001744,-73.47958952,1
172.217.12.138-10.42.0.151-443-47555-6,33,3.1,01-11-22 12:27,35,Male,Employee,Below 1yr,Automobile,Other,Y Shape,Collision with pedestrians,2,4,Moving Backward,No priority to vehicle,Slight Injury,No,No,41.21798582,-73.22314735,1
172.217.10.131-10.42.0.151-443-51851-6,25,5.1,01-11-22 12:38,50,Male,Employee,5-10yr,Lorry (11?40Q),Other,Y Shape,Collision with pedestrians,2,4,Going straight,Driving carelessly,Slight Injury,Yes,Yes,41.15613028,-73.22567683,0
172.217.3.106-10.42.0.211-443-53118-6,38,7,01-11-22 12:47,35,Male,Owner,5-10yr,Lorry (41?100Q), Church areas,Y Shape,Vehicle with vehicle collision,2,1,,Changing lane to the right,Slight Injury,Yes,Yes,41.18040338,-73.19670465,0
10.42.0.211-54.239.17.112-48920-443-6,36,5.6,01-11-22 12:57,60,Male,Owner,5-10yr,Pick up upto 10Q,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.74039445,-72.68528287,0
203.205.179.172-10.42.0.211-80-54438-6,33,6.2,01-11-22 12:58,40,Male,Employee,5-10yr,Lorry (11?40Q),Other,Y Shape,Vehicle with vehicle collision,4,1,,Moving Backward,Slight Injury,No,No,41.24547922,-73.15551261,1
10.42.0.211-64.71.142.96-53660-443-6,32,2.7,01-11-22 12:59,45,Male,Employee,2-5yr,Stationwagen,Residential areas,Y Shape,Vehicle with vehicle collision,4,1,Going straight,Driving carelessly,Slight Injury,No,No,41.10047502,-73.53274012,1
172.217.6.234-10.42.0.151-443-51173-6,36,2.7,01-11-22 13:06,50,Male,Employee,5-10yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,4,1,,Driving to the left,Slight Injury,No,No,41.74763082,-72.6019419,1
172.217.6.202-10.42.0.211-443-40201-6,30,2.5,01-11-22 13:13,35,Male,Employee,Above 10yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,4,1,Going straight,Driving to the left,Slight Injury,No,No,41.42847232,-73.43898348,1
10.42.0.151-10.42.0.1-4331-53-17,36,2.8,01-11-22 13:14,40,Male,Employee,Below 1yr,Lorry (11?40Q),Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.18948162,-73.12953144,1
216.58.219.206-10.42.0.211-443-38426-6,36,3.4,01-11-22 13:17,55,Male,Employee,5-10yr,Car, Church areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.40008809,-73.45907194,0
172.217.10.14-10.42.0.211-443-33744-6,31,5.8,01-11-22 13:21,50,Male,Employee,2-5yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,41.26182953,-73.16473911,1
10.42.0.151-104.244.43.99-50123-443-6,29,6.2,01-11-22 13:37,45,Male,Employee,2-5yr,Lorry (41?100Q),Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,41.31828517,-73.097026,0
10.42.0.151-10.42.0.1-49198-53-17,32,5.3,01-11-22 13:37,50,Male,Employee,1-2yr,Other,Office areas,Y Shape,Collision with roadside objects,2,1,Other,No distancing,Slight Injury,Yes,Yes,41.2980622,-73.14706651,0
172.217.6.202-10.42.0.211-443-51690-6,31,4.7,01-11-22 13:40,30,Male,Employee,2-5yr,Lorry (41?100Q),Office areas,Y Shape,Rollover,2,1,Other,Getting off the vehicle improperly,Slight Injury,Yes,Yes,41.37387319,-73.38776825,0
10.42.0.151-98.139.199.205-59381-443-6,31,5.8,01-11-22 13:49,65,Male,Employee,2-5yr,Automobile,Other,Crossing,Vehicle with vehicle collision,2,2,Going straight,Driving under the influence of drugs,Slight Injury,No,No,41.41432738,-73.29782899,1
10.42.0.151-91.190.218.55-54709-12350-6,33,5.1,01-11-22 13:52,45,Male,Employee,Above 10yr,Pick up upto 10Q,Residential areas,Crossing,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,41.14003085,-73.26215543,0
10.42.0.151-103.235.46.211-40341-443-6,32,3.8,01-11-22 13:55,20,Male,Employee,Below 1yr,Lorry (41?100Q), Church areas,Crossing,Vehicle with vehicle collision,2,2,Getting off,Driving carelessly,Slight Injury,No,No,41.12394963,-73.54934716,1
172.217.10.109-10.42.0.151-443-40009-6,31,2.7,01-11-22 14:01,45,Male,Employee,2-5yr,Public (13?45 seats),Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Moving Backward,Fatal injury,Yes,Yes,41.13987263,-73.60078271,0
10.42.0.151-64.71.142.124-41140-80-6,32,3,01-11-22 14:04,60,Male,Employee,Above 10yr,Long lorry,  Recreational areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Turnover,Fatal injury,No,No,41.12621083,-73.59864601,1
219.147.93.205-10.42.0.42-443-42326-6,34,6.4,01-11-22 14:16,40,Female,Employee,Above 10yr,Automobile,,Y Shape,Collision with roadside objects,1,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,41.1679052,-73.41099297,0
220.243.219.55-10.42.0.211-80-54836-6,33,2.5,01-11-22 14:17,45,Male,Employee,5-10yr,Automobile, Industrial areas,Y Shape,Collision with roadside objects,2,1,Going straight,Driving carelessly,Slight Injury,No,No,41.09183588,-73.53426403,1
172.217.1.174-10.42.0.151-443-44310-6,32,2.1,01-11-22 14:25,55,Male,Employee,Above 10yr,Other,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,No,No,41.77193517,-72.54862906,1
172.217.7.131-10.42.0.151-80-37914-6,30,2.8,01-11-22 14:29,40,Male,Employee,1-2yr,Car,Other,Y Shape,Collision with roadside objects,2,1,Getting off,Moving Backward,Slight Injury,Yes,Yes,41.77601028,-72.84050545,0
172.217.10.14-10.42.0.151-443-55487-6,31,5.2,01-11-22 14:30,40,Male,Employee,2-5yr,Long lorry, Church areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,No,No,41.7711992,-72.74734396,1
10.42.0.211-10.42.0.1-51731-53-17,33,2.7,01-11-22 14:37,35,Male,Employee,2-5yr,Public (12 seats), Church areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Overturning,Slight Injury,Yes,Yes,41.78214303,-72.52482423,0
157.240.2.35-10.42.0.211-443-48743-6,32,4.3,01-11-22 14:41,50,Male,Other,5-10yr,Public (12 seats),Other,Y Shape,Vehicle with vehicle collision,2,1,Other,No distancing,Slight Injury,Yes,Yes,41.79555142,-72.52744679,0
203.205.158.62-10.42.0.211-80-60543-6,31,3.8,01-11-22 14:45,45,Male,Employee,5-10yr,Other,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,No,No,41.97194625,-72.5931447,1
172.217.7.227-10.42.0.211-443-45323-6,32,5.9,01-11-22 14:49,25,Male,Owner,5-10yr,Other,  Recreational areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,41.84946236,-72.83407473,1
172.217.10.36-10.42.0.151-443-58519-6,30,4.4,01-11-22 14:51,25,Male,Employee,Above 10yr,Other,Other,No junction,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.78096549,-72.7286476,0
172.217.10.46-10.42.0.151-443-59435-6,33,4.7,01-11-22 14:58,35,Male,Employee,Below 1yr,Public (12 seats),Office areas,No junction,Collision with pedestrians,3,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.78396396,-72.69488917,1
182.22.67.102-10.42.0.42-443-39708-6,30,3.4,01-11-22 15:05,55,Male,Other,Below 1yr,Lorry (41?100Q), Church areas,No junction,Vehicle with vehicle collision,3,1,Going straight,No distancing,Slight Injury,Yes,Yes,41.80333753,-72.75018048,0
172.217.12.162-10.42.0.151-443-46458-6,31,6.8,01-11-22 15:12,25,Male,Employee,Above 10yr,Other,Office areas,No junction,Collision with roadside objects,2,1,Reversing,No distancing,Slight Injury,No,No,41.68680098,-72.94050995,1
180.149.136.194-10.42.0.42-80-49293-6,29,3.1,01-11-22 15:12,40,Male,Owner,5-10yr,Public (12 seats),Office areas,No junction,Vehicle with vehicle collision,2,1,Other,Changing lane to the left,Slight Injury,Yes,Yes,41.79022469,-72.74638886,0
10.42.0.151-10.42.0.1-20313-53-17,30,3.1,01-11-22 15:27,60,Male,Owner,5-10yr,Other,Other,No junction,Collision with roadside objects,2,4,Going straight,No distancing,Slight Injury,No,No,41.75813447,-72.73556076,1
202.77.129.150-10.42.0.211-80-40984-6,35,2.1,01-11-22 15:31,50,Male,Employee,2-5yr,Lorry (11?40Q),Residential areas,No junction,Vehicle with vehicle collision,2,4,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.72348031,-72.82925242,0
10.42.0.151-31.13.80.12-32947-443-6,33,1.8,01-11-22 15:39,25,Male,Employee,2-5yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,4,Going straight,No distancing,Slight Injury,Yes,Yes,41.77095298,-72.74725082,0
192.229.173.173-10.42.0.211-443-40166-6,30,2.6,01-11-22 15:45,40,Male,Employee,5-10yr,Other,Residential areas,No junction,Collision with pedestrians,2,4,Going straight,No distancing,Slight Injury,Yes,Yes,41.76818823,-72.65543933,0
10.42.0.211-10.42.0.1-44393-53-17,30,4.3,01-11-22 15:47,30,Male,Owner,2-5yr,Other,Residential areas,No junction,Vehicle with vehicle collision,2,4,Going straight,No distancing,Slight Injury,Yes,Yes,41.79950465,-72.75327802,0
10.42.0.211-23.206.166.66-52513-80-6,30,4.1,01-11-22 15:48,35,Male,Owner,1-3yr,Pick up upto 10Q,Other,Crossing,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.8679124,-72.637397,0
10.42.0.211-10.42.0.1-46250-53-17,29,2.1,01-11-22 15:57,40,Male,Employee,2-5yr,Automobile, Hospital areas,Crossing,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight Injury,No,No,41.65139456,-72.78863116,1
182.22.24.252-10.42.0.151-443-38593-6,29,3.2,01-11-22 16:00,60,Male,Employee,5-10yr,Other,Other,Crossing,Vehicle with vehicle collision,2,2,Going straight,Moving Backward,Slight Injury,No,No,41.67194303,-72.7886184,1
10.42.0.211-10.42.0.1-65264-53-17,32,2.6,01-11-22 16:08,35,Male,Employee,2-5yr,Lorry (41?100Q),Other,No junction,Collision with pedestrians,1,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,41.75121609,-72.76589778,0
172.217.7.132-10.42.0.211-443-39624-6,30,2.6,01-11-22 16:11,50,Female,Employee,1-2yr,Public (13?45 seats),  Recreational areas,Crossing,Vehicle with vehicle collision,2,2,Moving Backward,No distancing,Slight Injury,Yes,Yes,41.67033396,-72.94629452,0
192.229.173.173-10.42.0.211-443-58664-6,30,4,01-11-22 16:15,35,Male,Employee,1-3yr,Automobile,Other,Crossing,Vehicle with vehicle collision,2,2,Moving Backward,Overtaking,Slight Injury,Yes,Yes,41.98657835,-72.59942913,0
10.42.0.151-10.42.0.1-49493-53-17,30,3,01-11-22 16:17,55,Male,Owner,1-2yr,Pick up upto 10Q,Other,Crossing,Vehicle with vehicle collision,2,2,Turnover,Other,Slight Injury,No,No,41.79116947,-72.52541892,1
239.255.255.250-10.42.0.1-1900-49079-17,29,2.9,01-11-22 16:19,25,Male,Employee,2-5yr,Lorry (41?100Q),Other,Crossing,Vehicle with vehicle collision,2,2,Other,Other,Slight Injury,No,No,41.73607803,-72.73587657,1
180.149.134.221-10.42.0.151-80-42790-6,32,5.8,01-11-22 16:25,25,Male,Employee,1-2yr,Public (12 seats),Office areas,Crossing,Collision with roadside objects,2,2,Other,Changing lane to the right,Slight Injury,No,No,41.85219629,-72.64801092,1
